u,g,r,i,z
19.091929999999998,17.86146,17.34277,16.99911,16.792460000000002
19.998639999999998,17.97824,16.97658,16.525479999999998,16.18047
21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998
19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002
19.58866,17.984289999999998,17.23228,16.8559,16.5243
21.48726,19.09873,17.66684,17.10106,16.7712
17.73339,16.71486,16.41702,16.21477,16.1083
17.91927,16.68965,16.26973,15.97756,15.90915
20.7851,18.67885,17.204929999999997,16.64238,16.31031
16.98516,15.778970000000001,15.292370000000002,15.029639999999999,14.794329999999999
20.9155,18.742720000000002,17.33586,16.80656,16.42595
20.22135,18.49881,17.74995,17.347720000000002,17.09464
18.798,17.00021,16.116039999999998,15.66969,15.386439999999999
20.7059,18.93596,17.85924,17.37409,17.01736
19.82934,18.52765,17.70818,17.2778,16.9539
16.774160000000002,15.399270000000001,14.845020000000002,14.564279999999998,14.4361
18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002
20.53677,18.55817,17.4951,16.98721,16.60135
19.05704,17.830779999999997,17.23246,16.83013,16.62528
20.735020000000002,18.58605,17.17311,16.620179999999998,16.252010000000002
20.41964,18.490879999999997,17.69175,17.334220000000002,17.078039999999998
19.28163,17.3575,16.482120000000002,16.08959,15.772929999999999
19.00261,17.49018,16.68834,16.29175,15.97556
20.0543,18.668870000000002,17.824820000000003,17.3808,17.04285
20.86577,18.979229999999998,17.69528,17.218320000000002,16.877489999999998
20.69656,18.68085,17.18477,16.65752,16.301289999999998
20.25999,18.55005,17.50229,17.0524,16.72671
18.286089999999998,17.25774,17.10856,16.82754,16.80196
19.697429999999997,18.48256,17.75529,17.381079999999997,17.11401
19.72105,18.251820000000002,17.48956,17.12856,16.84856
20.58137,18.84329,17.59147,17.059820000000002,16.68552
17.3871,15.88599,15.208229999999999,14.81886,14.552879999999998
20.63813,18.79938,17.684089999999998,17.206870000000002,16.83607
19.205289999999998,18.08887,17.633570000000002,17.349529999999998,17.21025
19.86525,18.26228,17.36386,16.9665,16.59816
20.36534,18.52814,17.55111,17.1481,16.7843
20.31131,18.15814,17.11329,16.62061,16.24995
18.155379999999997,16.939329999999998,16.32726,16.0103,15.7642
19.17383,18.09209,17.64301,17.310489999999998,17.18074
19.924570000000003,18.27165,17.49309,17.10824,16.82705
18.24259,17.36986,17.02092,16.688670000000002,16.65718
19.95727,18.481720000000003,17.57218,17.11346,16.86693
19.92024,18.38158,17.51184,17.10555,16.85693
18.303079999999998,17.10613,16.466839999999998,16.08553,15.865429999999998
20.37375,18.462970000000002,17.37472,16.953670000000002,16.58168
19.66902,17.59093,16.57689,16.144660000000002,15.79646
18.72385,16.81796,15.9603,15.568010000000001,15.235129999999998
19.5365,18.21826,17.645220000000002,17.338070000000002,17.11447
19.11804,18.04995,17.43017,17.061770000000003,16.83606
20.24288,18.16171,17.02618,16.56425,16.20864
17.94776,16.44783,15.75335,15.36832,15.08884
18.226679999999998,16.95597,16.62059,16.3721,16.179679999999998
18.58451,17.42737,16.89741,16.581979999999998,16.37131
19.54329,17.52127,16.47205,16.03888,15.669620000000002
18.28974,16.76994,16.10378,15.762020000000001,15.554979999999999
18.66453,17.42393,16.94676,16.606189999999998,16.45092
19.957810000000002,18.25558,17.48539,17.11926,16.85318
20.57999,18.47598,17.36956,16.91271,16.54014
19.90408,18.42724,17.67933,17.316879999999998,17.056820000000002
20.19501,18.2661,17.3522,16.94415,16.60258
16.74051,14.958110000000001,14.158829999999998,13.76954,13.54142
19.558139999999998,17.58734,16.66687,16.2273,15.90935
20.056179999999998,18.25275,17.36965,16.90154,16.54358
19.60442,18.21461,17.44011,17.022660000000002,16.77433
19.23708,18.0091,17.20243,16.82026,16.55038
18.921429999999997,17.75646,17.25927,16.96886,16.74695
20.61788,18.56745,17.462239999999998,17.0161,16.5811
19.24633,17.26227,16.36272,15.95336,15.61193
19.95059,18.17248,17.230629999999998,16.809060000000002,16.5091
19.57495,18.243779999999997,17.53686,17.076529999999998,16.80325
20.55576,18.53313,17.37629,16.92616,16.53755
19.619889999999998,17.74941,16.86188,16.46818,16.12878
19.33312,18.13547,17.55842,17.21634,17.02604
20.3843,18.54354,17.405520000000003,16.939429999999998,16.60484
19.58088,18.07849,17.28295,16.85128,16.56679
20.95221,18.64669,17.48413,17.01347,16.66104
19.01155,17.08524,16.27855,15.910670000000001,15.589720000000002
20.13005,18.365879999999997,17.335079999999998,16.825960000000002,16.353279999999998
20.33832,18.65023,17.77024,17.36775,17.085910000000002
20.82754,18.787670000000002,17.57272,17.09451,16.72634
19.372410000000002,17.621760000000002,16.76266,16.36346,16.06921
20.672279999999997,18.81269,17.567729999999997,17.073629999999998,16.71554
18.90059,18.08895,17.74606,17.59742,17.491870000000002
18.565910000000002,17.34357,16.8953,16.59194,16.44441
18.890639999999998,17.59512,16.88976,16.52228,16.24305
19.741870000000002,17.963729999999998,17.07864,16.66175,16.33943
19.586779999999997,18.1562,17.52467,17.17975,16.94582
19.455679999999997,17.84665,17.08792,16.698710000000002,16.43621
20.94204,19.18756,17.70942,17.15439,16.68538
18.95881,17.08734,16.20737,15.76325,15.443220000000002
19.59875,17.83952,16.87986,16.378410000000002,15.98913
19.177120000000002,18.060489999999998,17.497320000000002,17.13026,16.89425
19.996760000000002,17.97508,16.97474,16.53014,16.145429999999998
18.73026,17.58725,17.1469,16.81542,16.6327
