u,g,r,i,z,redshift
21.37319,19.29492,17.83899,17.3035,16.98967,0.239812
19.118570000000002,17.86208,17.04089,16.62898,16.322029999999998,0.133823
20.571620000000003,18.564610000000002,17.61167,17.1362,16.78903,0.0934843
19.078879999999998,17.25199,16.23895,15.791929999999999,15.423420000000002,0.10302599999999999
19.11872,17.98012,17.42383,17.0435,16.8666,0.064899
19.44831,18.361179999999997,17.94443,17.69588,17.50499,0.042648
18.58407,17.31824,16.84561,16.546129999999998,16.33681,0.05677719999999999
18.18236,16.87017,16.26476,15.86609,15.640089999999999,0.0637682
19.99445,18.3856,17.47942,17.06203,16.80473,0.15762400000000001
20.10935,18.40019,17.48336,17.08438,16.7476,0.122733
19.47417,17.96433,17.27594,16.92928,16.68398,0.09836139999999999
19.64872,18.39012,17.7176,17.30978,17.0877,0.12597
19.6694,18.33162,17.79695,17.48909,17.31308,0.0724822
18.72334,17.479229999999998,16.93554,16.601960000000002,16.36926,0.0428089
19.4259,18.32665,17.677989999999998,17.28577,17.012539999999998,0.171504
18.53924,16.56539,15.667279999999998,15.251870000000002,14.916979999999999,0.055273800000000005
19.77277,17.85306,16.89392,16.38383,15.98219,0.05633049999999999
18.336170000000003,16.504170000000002,15.62662,15.184520000000001,14.84555,0.0356852
20.857229999999998,18.97178,17.79089,17.25165,16.84727,0.160658
19.2786,17.957620000000002,17.15232,16.69245,16.37987,0.139789
19.83151,18.16966,17.23794,16.75433,16.37823,0.115888
19.40268,17.57248,16.72935,16.33181,16.07336,0.0665353
19.88062,18.31319,17.52617,17.19997,16.8766,0.0649173
20.716739999999998,18.69503,17.58543,17.10203,16.74611,0.131525
18.7378,17.33225,16.645979999999998,16.279020000000003,16.07605,0.08753419999999999
19.23616,17.8075,17.14728,16.7632,16.49117,0.06668760000000001
19.71562,18.37576,17.52657,17.0878,16.799889999999998,0.181858
19.39909,18.21384,17.68609,17.3456,17.15798,0.0986427
20.15286,18.19079,17.20514,16.73118,16.38859,0.0895202
19.29267,17.9073,17.12174,16.66554,16.367810000000002,0.145637
18.743660000000002,17.0682,16.22317,15.798210000000001,15.474960000000001,0.055075
19.837310000000002,18.37708,17.64316,17.26015,17.02355,0.11629600000000001
20.53473,18.71689,17.6325,17.13959,16.72157,0.194232
19.215139999999998,17.73208,17.20284,16.878020000000003,16.63072,0.0991732
17.66365,15.586039999999999,14.75825,14.34343,13.986070000000002,0.0315172
20.55278,18.7059,17.54063,17.06156,16.69815,0.177012
19.620179999999998,18.349970000000003,17.715410000000002,17.36916,17.18887,0.0921525
20.65212,18.53405,17.44521,16.984170000000002,16.597720000000002,0.140049
19.44556,18.363970000000002,17.574289999999998,17.15713,16.90059,0.193787
19.77886,17.89442,17.03634,16.64391,16.29918,0.0535116
19.14614,17.416339999999998,16.6257,16.24896,15.965539999999999,0.056664099999999995
19.56007,18.2344,17.28434,16.85135,16.52843,0.210365
19.7744,18.10739,17.35174,16.9734,16.74239,0.0801018
17.30341,15.88323,15.13746,14.71045,14.3416,0.0310666
18.8056,17.84853,17.517870000000002,17.25797,17.152479999999997,0.08289969999999999
18.7264,17.4491,16.8328,16.4486,16.204079999999998,0.11199999999999999
18.11761,17.18979,16.67694,16.40948,16.21034,0.044608499999999995
18.865879999999997,16.50548,15.6484,15.17431,14.78602,0.048822000000000004
19.61823,18.02995,17.23164,16.79372,16.471120000000003,0.122001
19.94424,17.9445,16.96559,16.53142,16.18184,0.11699999999999999
19.3813,17.879179999999998,17.132620000000003,16.75044,16.46914,0.0567534
18.26553,16.40427,15.56391,15.138829999999999,14.781120000000001,0.0462277
19.11091,17.42747,16.57789,16.16415,15.83349,0.07592489999999999
17.761789999999998,16.47464,15.885110000000001,15.587860000000001,15.33281,0.030597500000000003
20.28891,18.1305,16.91585,16.454320000000003,16.09978,0.177488
19.64128,18.306179999999998,17.68991,17.29008,17.0854,0.0663684
19.29385,18.26661,17.59124,17.23619,16.94266,0.159398
20.60996,18.633770000000002,17.55029,17.07114,16.72179,0.15832100000000002
19.65175,18.05578,17.2712,16.8554,16.56573,0.06943939999999998
19.87269,17.753239999999998,16.78997,16.33951,16.001279999999998,0.08044889999999999
20.77639,18.5986,17.3981,16.906579999999998,16.52757,0.166692
19.956960000000002,18.25335,17.088720000000002,16.58474,16.21215,0.173312
19.62371,18.06,17.21694,16.769470000000002,16.499670000000002,0.08306160000000001
19.848470000000002,18.43655,17.489160000000002,17.10865,16.869120000000002,0.17388800000000001
18.53183,16.70411,15.763670000000001,15.232420000000001,14.788110000000001,0.0620865
18.69345,17.51466,17.15118,16.89495,16.76461,0.057289599999999996
19.13585,17.429479999999998,16.63775,16.26748,16.005,0.06269209999999999
19.4812,18.16921,17.54014,17.187379999999997,16.98074,0.0753793
20.85592,18.79681,17.89078,17.49166,17.207420000000003,0.148558
19.63508,17.29316,16.08136,15.64151,15.24932,0.15495
20.690839999999998,18.92359,17.74079,17.26282,16.92926,0.17348
20.545939999999998,18.65873,17.41957,16.98302,16.65221,0.18953299999999998
20.00595,17.99634,17.02359,16.59133,16.1972,0.102199
19.18574,17.23582,16.32467,15.91295,15.590320000000002,0.0753471
18.335620000000002,16.76269,16.03906,15.652610000000001,15.3958,0.0667315
20.06249,18.50264,17.5708,17.08164,16.804920000000003,0.16781300000000002
